Năm Dữ Liệu (Year),Miền (Region),Vùng Kinh Tế (Zone),Tỉnh/Thành Phố (City),Mức Giá (Price),Diện Tích (Area),Địa Chỉ Chi Tiết (Address)
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,9 tỷ,300m²,"Đường An Dương Vương, Phường Phú Thượng, Tây Hồ, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,2.8 tỷ,73m²,"Dự án Tây Hồ Residence, 68a Đường Võ Chí Công, Phường Xuân La, Tây Hồ, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,2.1 tá»·,63mÂ²,"Dá»± Ã¡n Imperia Sky Garden, Hai BÃ  TrÆ°ng, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,2.6 tỷ,85m²,"Dự án Tây Hồ Residence, Tây Hồ, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,11.2 tỷ,56m²,"Phố Pháo Đài Láng, Phường Láng Thượng, Đống Đa, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,Thỏa thuận,Không xác định,"Dự án Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,23 tỷ,1091.7m²,"Dự án 7 Trần Phú, Hà Đông, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,5.9 tỷ,102m²,"Dự án Estella Heights, Đường Xa Lộ Hà Nội, Phường An Phú, Quận 2, Hồ Chí Minh"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,2.6 tỷ,90m²,"Dự án Imperia Sky Garden, 423 Đường Minh Khai, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,2.7 tỷ,79m²,"Dự án Mỹ Đình Pearl, Đường Châu Văn Liêm, Phường Phú Đô, Nam Từ Liêm, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,2.75 tỷ,Không xác định,"Dự án Masteri Thảo Điền, Đường Xa Lộ Hà Nội, Phường Thảo Điền, Quận 2, Hồ Chí Minh"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,33 triá»‡u/mÂ²,87mÂ²,"Dá»± Ã¡n Imperia Sky Garden, Ä�Æ°á»�ng Minh Khai, PhÆ°á»�ng ViÌƒnh Tuy, Hai BÃ  TrÆ°ng, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,27 triệu/m²,91m²,"Dự án Stellar Garden, Số 35 Phố Lê Văn Thiêm, Phường Nhân Chính, Thanh Xuân, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,1.7 tá»·,60mÂ²,"Dá»± Ã¡n VinCity Sportia, PhÆ°á»�ng TÃ¢y Má»—, Nam Tá»« LiÃªm, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,35.9 triá»‡u/mÂ²,65.5mÂ²,"Dá»± Ã¡n Chung cÆ° The Legacy, Phá»‘ Ngá»¥y NhÆ° Kon Tum, Thanh XuÃ¢n, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,4.75 tỷ,105.3m²,"Dự án Times City - Park Hill, Đường Minh Khai, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,Thỏa thuận,Không xác định,"Dự án Vinhomes Green Bay Mễ Trì, Đường Đại lộ Thăng Long, Phường Mễ Trì, Nam Từ Liêm, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,3.3 tỷ,70m²,"Dự án Masteri An Phú, Đường Xa Lộ Hà Nội, Phường Thảo Điền, Quận 2, Hồ Chí Minh"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,2.8 tỷ,82m²,"Dự án Imperia Sky Garden, Đường Minh Khai, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,3.1 tỷ,110m²,"Dự án Sunshine Riverside, Đường Võ Chí Công, Phường Phú Thượng, Tây Hồ, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,29 triệu/m²,Không xác định,"Dự án Imperia Sky Garden, Đường Minh Khai, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,2.3 tỷ,Không xác định,"Dự án Imperia Sky Garden, 423 Đường Minh Khai, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,4.7 tỷ,53.3m²,"Ngõ 329 đường Cầu Giấy, Phường Dịch Vọng, Cầu Giấy, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,1.27 tỷ,30m²,"Phố Lê Trọng Tấn, Phường Dương Nội, Hà Đông, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,62 tỷ,3200m²,"Đường Quốc Lộ 6A, Xã Tiên Phương, Chương Mỹ, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,22 triệu/m²,120m²,"Dự án Geleximco Lê Trọng Tấn, Phố Lê Trọng Tấn, Phường Dương Nội, Hà Đông, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,15 tỷ,240m²,"Dự án Geleximco Lê Trọng Tấn, Phố Lê Trọng Tấn, Phường Dương Nội, Hà Đông, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,26 triệu/m²,Không xác định,"Dự án Chung cư Ban cơ yếu Chính phủ, Đường Lê Văn Lương, Phường Nhân Chính, Thanh Xuân, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,2.7 tỷ,77m²,"Dự án Imperia Sky Garden, 423 Đường Minh Khai, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,12 tỷ,150m²,"Dự án Vinhomes Ocean Park Gia Lâm, Đường 5A, Xã Dương Xá, Gia Lâm, Hà Nội"
